205567025,private,,NetLagina,,f,t
-1001178346903,supergroup,Мама при выше всего,,,f,t
336786488,private,,Daniel_Vicktorovich,,f,t
-1001268586665,supergroup,Розбийныки,,,f,f
401059743,private,,anastasia2101_oleksenko,,f,t
-1001336107113,supergroup,mihnohub,,,f,f
488264599,private,,calyypsoo,,f,t
472500297,private,,Nikita_Paley,,t,f
484183753,private,,Lena_dark,,f,t
466402232,private,,,,f,t
670476790,private,,,,f,t
-1001475903118,supergroup,🔦,,,f,t
397171659,private,,lost1at1sea,,f,t
731361783,private,,,,f,t
-364717988,group,П,,,f,t
-303708453,group,Ж - Женщины,,,f,t
712739099,private,,Ari_Nari,,f,t
-1001386616987,supergroup,Фехтовальщики із борщаговки,,,f,t
888547272,private,,devo4ka_iz_ada,,f,t
512526562,private,,,,f,t
638279855,private,,,,f,t
315865276,private,,TryHardFuze,,f,t
404081463,private,,WarPanda,,t,t
-324181282,group,3 піздюка,,,f,t
426414730,private,,,,f,t
-1001375440377,supergroup,КОНФА ВЛАДА,,,t,f
-358329731,group,Просто,,,f,t
560482705,private,,True_Queen_of_Hell,,f,t
322004190,private,,classicz,,f,t
356437483,private,,dskoom,,f,t
653685977,private,,PaHki_B_TaHkE,,f,t
576293970,private,,,,f,t
510683730,private,,,,f,t
464022711,private,,,,f,t
873106795,private,,hopesunchild,,f,t
645685828,private,,,,f,t
645523775,private,,elluminatorian,,f,t
612496305,private,,,,f,t
380352499,private,,Kateryna_flint,,f,t
783436172,private,,qwertydjjw,,f,t
-353849308,group,Дауни,,,f,t
455563483,private,,,,f,t
-357203265,group,Ыыыы,,,f,t
-386103447,group,СТАААВКИ БЛЮАТЬ,,,f,f
614196368,private,,moransaka,,f,t
358558609,private,,yar_18,,f,t
100123283,private,,dshcherba,,f,t
694534996,private,,,,f,t
450935103,private,,tvoya_kesaa,,f,t
726019585,private,,,,f,t
590475302,private,,sckmrk,,f,t
660725844,private,,Iam_his_sugar_princess,,f,t
699966796,private,,chirkov256,,f,t
759178404,private,,,,f,t
481991224,private,,gliebvoytyuk,,f,t
324928983,private,,The_Sanchas,,f,t
-375361285,group,Ебобо,,,f,t
537706441,private,,S_Mak_V,,t,f
503717552,private,,clqncy,,f,t
422149862,private,,alex_severtoka,,f,t
668427815,private,,,,f,t
-321239357,group,PENIS MERYEM,,,f,t
-1001212783364,,,,,f,t
649856745,private,,,,f,t
-1001213119902,,,,,f,t
-1001213295124,,,,,f,t
-274949235,group,Писюн,,,f,t
408666237,private,,,,f,t
738889493,private,,,,f,t
490509365,private,,annarrrr,,f,t
587266074,private,,BOGDATOR,,f,t
490703555,private,,KirbyTwister,,f,t
722493897,private,,,,f,t
-358317023,group,Ми трошки ёбнутi,,,f,t
693958012,private,,,,f,t
666556067,private,,tina_44,,f,t
397868109,private,,,,f,t
-352489188,group,Овощебаза 2.0,,,f,t
363601397,private,,Dolbyk_digitaI,,f,t
-303940073,group,"Early access build 11-'"A'"",,,f,t
-1001185023216,supergroup,MeMMas ПР 181 (^^),,,f,t
390651133,private,,glavnyialkash,,f,f
673041452,private,,lovenek0,,f,t
553036343,private,,Jesus_Christ_Surerstar,,f,t
-336829050,group,Биланский штурвал,,,f,f
443246028,private,,imp3rivm,,f,t
-239442273,group,gay.exponea.com,,,f,f
804790884,private,,,,f,t
-321709620,group,ПЄСЮНИ,,,f,f
245521262,private,,rena_bilik,,f,t
743927799,private,,,,f,t
259846707,private,,IvkOo,,f,t
743452700,private,,mamoika,,t,t
-1001302248721,supergroup,...,,,f,t
401767742,private,,,,f,t
580491402,private,,d1alekt,,f,t
355201510,private,,Temu444,,f,t
-1001159642562,supergroup,анонимный клуб геев🇺🇦👍🏿,jpegcat,,f,t
553819582,private,,limanskyi,,f,t
-1001362635298,supergroup,Аниме и Психология,,,f,f
396230511,private,,yangarazhun,,f,t
-1001350237761,supergroup,Dungeons & Seniuks,,,f,f
-418965795,group,Рр,,,f,t
-1001473038377,supergroup,Друзі🐖,,,f,f
-1001497651321,supergroup,ЇБАНЬКИ,,,f,t
-312752152,group,Масюткин пидор,,,f,t
-360919460,group,В,,,f,t
-1001428521520,supergroup,Святая Троица,,,f,f
-226942572,group,band 066626664 krm gang clan,,,f,f
-1001142993197,supergroup,Атвратниє,,,f,t
-1001330400671,supergroup,NEVERMOURNE神 покинул(а) группу,,,f,t
-340361926,group,🎊🥂,,,f,f
-368904626,group,Львов,,,f,f
